City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-2.36,72,21,9.44,GS,1729713677
1,udachny,66.4167,112.4,-15.53,98,99,1.21,RU,1729713677
2,karachi,24.9056,67.0822,25.9,61,0,2.06,PK,1729713499
3,oltinko'l,40.8011,72.1634,12.86,79,95,1.17,UZ,1729713677
4,puerto deseado,-47.7503,-65.8938,11.26,60,11,5.75,AR,1729713677
5,albany,42.6001,-73.9662,25.19,31,4,1.34,US,1729713677
6,port-aux-francais,-49.35,70.2167,2.63,69,95,13.52,TF,1729713678
7,polyarnyy,69.1989,33.4478,2.72,89,17,2.84,RU,1729713678
8,nova sintra,14.8667,-24.7167,26.09,76,38,5.0,CV,1729713678
9,chonchi,-42.6128,-73.8092,17.84,58,11,1.03,CL,1729713678
10,puerto baquerizo moreno,-0.9,-89.6,25.55,69,75,7.72,EC,1729713678
11,new norfolk,-42.7826,147.0587,8.17,76,34,2.22,AU,1729713678
12,kamaishi,39.2667,141.8833,15.73,82,9,4.04,JP,1729713678
13,bilibino,68.0546,166.4372,-17.92,100,100,1.33,RU,1729713599
14,holualoa,19.6228,-155.9522,26.42,75,88,0.45,US,1729713678
15,juneau,58.3019,-134.4197,5.23,100,100,2.3,US,1729713678
16,port alfred,-33.5906,26.891,17.32,94,85,1.79,ZA,1729713679
17,mana,5.6592,-53.7767,28.36,73,100,5.14,GF,1729713679
18,kingston,17.997,-76.7936,31.76,70,20,3.6,JM,1729713679
19,adamstown,-25.066,-130.1015,20.53,69,100,6.77,PN,1729713599
20,cabo san lucas,22.8909,-109.9124,32.64,46,6,2.24,MX,1729713606
21,forster,-32.1667,152.5167,16.88,100,72,2.04,AU,1729713679
22,mynamaki,60.7446,22.0243,10.08,78,100,5.19,FI,1729713679
23,puerto natales,-51.7236,-72.4875,16.25,44,75,11.32,CL,1729713549
24,margaret river,-33.95,115.0667,9.03,89,5,2.84,AU,1729713679
25,ocnita,44.9833,25.55,10.62,99,11,1.89,RO,1729713679
26,bethel,41.3712,-73.414,24.77,59,0,1.34,US,1729713680
27,tiksi,71.6872,128.8694,-20.36,94,61,1.34,RU,1729713680
28,mongoumba,3.6415,18.5936,23.71,89,100,0.55,CF,1729713600
29,weno,7.4515,151.8468,26.97,89,100,4.12,FM,1729713600
30,malabar,-33.9667,151.25,19.32,82,20,7.72,AU,1729713680
31,hilo,19.7297,-155.09,27.28,85,44,1.79,US,1729713680
32,lauro de freitas,-12.8944,-38.3272,28.01,65,20,5.14,BR,1729713586
33,colonel hill,22.7667,-74.2167,28.03,72,20,3.65,BS,1729713680
34,queenstown,-31.8976,26.8753,12.51,87,16,0.65,ZA,1729713680
35,port elizabeth,-33.918,25.5701,17.4,97,16,3.13,ZA,1729713680
36,goldsboro,35.3849,-77.9928,26.89,44,20,2.57,US,1729713681
37,huarmey,-10.0681,-78.1522,21.21,75,20,5.65,PE,1729713681
38,waitangi,-43.9535,-176.5597,14.9,93,27,2.68,NZ,1729713601
39,lihue,21.9789,-159.3672,27.77,73,40,4.12,US,1729713681
40,bredasdorp,-34.5322,20.0403,16.21,86,89,0.94,ZA,1729713601
41,edinburgh of the seven seas,-37.0676,-12.3116,14.81,82,100,16.3,SH,1729713531
42,rostovka,55.3842,71.8891,3.97,91,100,4.17,RU,1729713602
43,howrah,22.5892,88.3103,26.0,89,75,4.12,IN,1729713681
